1st_place_medal|1st place medal
right_anger_bubble|Right anger bubble
right_arrow|Right arrow
right_arrow_curving_down|Right arrow curving down
right_arrow_curving_left|Right arrow curving left
right_arrow_curving_up|Right arrow curving up
ring|Ring
ring_buoy|Ring buoy
ringed_planet|Ringed planet
roasted_sweet_potato|Roasted sweet potato
robot|Robot
rock|Rock
rocket|Rocket
roll_of_paper|Roll of paper
rolled-up_newspaper|Rolled-up newspaper
roller_coaster|Roller coaster
roller_skate|Roller skate
rolling_on_the_floor_laughing|Rolling on the floor laughing
rooster|Rooster
rose|Rose
rosette|Rosette
round_pushpin|Round pushpin
rugby_football|Rugby football
running_shirt|Running shirt
running_shoe|Running shoe
sad_but_relieved_face|Sad but relieved face
safety_pin|Safety pin
safety_vest|Safety vest
sagittarius|Sagittarius
sailboat|Sailboat
sake|Sake
salt|Salt
saluting_face|Saluting face
sandwich|Sandwich
sari|Sari
satellite|Satellite
satellite_antenna|Satellite antenna
sauropod|Sauropod
saxophone|Saxophone
scarf|Scarf
school|School
scissors|Scissors
scorpio|Scorpio
scorpion|Scorpion
screwdriver|Screwdriver
scroll|Scroll
seal|Seal
seat|Seat
see-no-evil_monkey|See-no-evil monkey
seedling|Seedling
service_dog|Service dog
seven-thirty|Seven-thirty
seven_oclock|Seven oclock
sewing_needle|Sewing needle
shaking_face|Shaking face
shallow_pan_of_food|Shallow pan of food
shamrock|Shamrock
shark|Shark
shaved_ice|Shaved ice
sheaf_of_rice|Sheaf of rice
shield|Shield
shinto_shrine|Shinto shrine
ship|Ship
shooting_star|Shooting star
shopping_bags|Shopping bags
shopping_cart|Shopping cart
shortcake|Shortcake
shorts|Shorts
shower|Shower
shrimp|Shrimp
shuffle_tracks_button|Shuffle tracks button
shushing_face|Shushing face
six-thirty|Six-thirty
six_oclock|Six oclock
skateboard|Skateboard
skier|Skier
skis|Skis
skull|Skull
skull_and_crossbones|Skull and crossbones
skunk|Skunk
sled|Sled
sleeping_face|Sleeping face
sleepy_face|Sleepy face
slightly_frowning_face|Slightly frowning face
slightly_smiling_face|Slightly smiling face
slot_machine|Slot machine
sloth|Sloth
small_airplane|Small airplane
small_blue_diamond|Small blue diamond
small_orange_diamond|Small orange diamond
smiling_cat_with_heart-eyes|Smiling cat with heart-eyes
smiling_face|Smiling face
smiling_face_with_halo|Smiling face with halo
smiling_face_with_heart-eyes|Smiling face with heart-eyes
smiling_face_with_hearts|Smiling face with hearts
smiling_face_with_horns|Smiling face with horns
smiling_face_with_smiling_eyes|Smiling face with smiling eyes
smiling_face_with_sunglasses|Smiling face with sunglasses
smiling_face_with_tear|Smiling face with tear
smirking_face|Smirking face
snail|Snail
snake|Snake
sneezing_face|Sneezing face
snow-capped_mountain|Snow-capped mountain
snowflake|Snowflake
snowman|Snowman
snowman_without_snow|Snowman without snow
soap|Soap
soccer_ball|Soccer ball
socks|Socks
soft_ice_cream|Soft ice cream
softball|Softball
soon_arrow|Soon arrow
sos_button|Sos button
spade_suit|Spade suit
spaghetti|Spaghetti
sparkle|Sparkle
sparkler|Sparkler
sparkles|Sparkles
sparkling_heart|Sparkling heart
speak-no-evil_monkey|Speak-no-evil monkey
speaker_high_volume|Speaker high volume
speaker_low_volume|Speaker low volume
speaker_medium_volume|Speaker medium volume
speaking_head|Speaking head
speech_balloon|Speech balloon
speedboat|Speedboat
spider|Spider
spider_web|Spider web
spiral_calendar|Spiral calendar
spiral_notepad|Spiral notepad
spiral_shell|Spiral shell
sponge|Sponge
spoon|Spoon
sport_utility_vehicle|Sport utility vehicle
sports_medal|Sports medal
spouting_whale|Spouting whale
squid|Squid
squinting_face_with_tongue|Squinting face with tongue
stadium|Stadium
star|Star
star-struck|Star-struck
star_and_crescent|Star and crescent
star_of_david|Star of david
station|Station
statue_of_liberty|Statue of liberty
steaming_bowl|Steaming bowl
stethoscope|Stethoscope
stop_button|Stop button
stop_sign|Stop sign
stopwatch|Stopwatch
straight_ruler|Straight ruler
strawberry|Strawberry
studio_microphone|Studio microphone
stuffed_flatbread|Stuffed flatbread
sun|Sun
sun_behind_cloud|Sun behind cloud
sun_behind_large_cloud|Sun behind large cloud
